"Airline","Origin_Airport","Stopover_Airport","Destination_Airport","Origin_Departure_Delay","Stopover_Arrival_Delay","Stopover_Departure_Delay","Destination_Arrival_Delay"
"AA","SFO","LAX","JFK","-8","-22","-5","-22"
"DL","SFO","LAX","JFK","108","-10","13","-10"
"B6","SFO","LAS","JFK","-6","-21","4","-21"
"DL","SFO","LAX","JFK","39","-10","13","-10"
"DL","SFO","LAX","JFK","0","-10","13","-10"
"AA","SFO","PHX","JFK","-5","78","33","78"
"AA","SFO","DFW","JFK","-1","16","9","16"
"DL","SFO","LAX","JFK","2","-4","10","-4"
"AA","SFO","CLT","JFK","0","27","9","27"
"DL","SFO","LAX","JFK","0","-30","0","-30"
"AS","SFO","SEA","JFK","-16","-21","-2","-21"
"DL","SFO","LAX","JFK","60","-31","0","-31"
"AS","SFO","SEA","JFK","-17","-21","-2","-21"
"AA","SFO","LAX","JFK","-14","-40","-2","-40"
"AA","SFO","LAX","JFK","-14","6","15","6"
"DL","SFO","LAX","JFK","-3","-35","-1","-35"
"AA","SFO","LAX","JFK","-6","3","33","3"
"AA","SFO","LAX","JFK","-6","-40","-2","-40"
"DL","SFO","LAX","JFK","4","-39","1","-39"
"DL","SFO","LAX","JFK","4","-35","-1","-35"
"AA","SFO","LAX","JFK","-8","3","33","3"
"AA","SFO","CLT","JFK","-5","-23","-4","-23"
"DL","SFO","MSP","JFK","0","-27","-4","-27"
"AA","SFO","CLT","JFK","-3","7","-2","7"
"AA","SFO","PHX","JFK","-5","-34","-1","-34"
"AA","SFO","LAX","JFK","1","-34","-7","-34"
"B6","SFO","LAS","JFK","-7","-14","7","-14"
"DL","SFO","LAX","JFK","5","-19","5","-19"
"DL","SFO","LAX","JFK","-2","-19","5","-19"
"AA","SFO","PHX","JFK","-1","-43","-4","-43"
"AA","SFO","LAX","JFK","-7","-31","-4","-31"
"AA","SFO","LAX","JFK","-7","-3","19","-3"
"AA","SFO","DFW","JFK","-2","-10","-1","-10"
"AA","SFO","DFW","JFK","-2","363","387","363"
"DL","SFO","LAX","JFK","-3","-34","-5","-34"
"AA","SFO","CLT","JFK","-4","-1","7","-1"
"AA","SFO","DFW","JFK","-2","363","387","363"
"DL","SFO","LAX","JFK","-2","-23","-6","-23"
"AA","SFO","PHX","JFK","-5","-34","-1","-34"
"AA","SFO","LAX","JFK","-3","-26","-6","-26"
"AS","SFO","SEA","JFK","-11","-38","-5","-38"
"AS","SFO","SEA","JFK","-10","-38","-5","-38"
"AA","SFO","LAX","JFK","-8","-43","-5","-43"
"AA","SFO","LAX","JFK","-8","-8","-4","-8"
"DL","SFO","LAX","JFK","-5","-28","0","-28"
"DL","SFO","LAX","JFK","-5","-9","-1","-9"
"AA","SFO","LAX","JFK","-3","-18","-5","-18"
"AA","SFO","LAX","JFK","-3","-43","-5","-43"
"DL","SFO","LAX","JFK","-2","-28","0","-28"
"AA","SFO","LAX","JFK","-6","-18","-5","-18"
"AA","SFO","CLT","JFK","-3","-15","-1","-15"
"AA","SFO","DFW","JFK","-3","-25","0","-25"
"B6","SFO","LAS","JFK","4","-30","-6","-30"
"DL","SFO","LAX","JFK","0","11","20","11"
"DL","SFO","LAX","JFK","9","-18","0","-18"
"AA","SFO","PHX","JFK","0","-30","-3","-30"
"AA","SFO","LAX","JFK","0","19","8","19"
"AA","SFO","LAX","JFK","0","-19","-4","-19"
"AA","SFO","DFW","JFK","-1","-17","3","-17"
"DL","SFO","LAX","JFK","-2","-18","0","-18"
"AA","SFO","CLT","JFK","23","-8","-1","-8"
"DL","SFO","LAX","JFK","39","-36","-5","-36"
"AA","SFO","PHX","JFK","0","-33","-8","-33"
"AA","SFO","CLT","JFK","10","-8","-1","-8"
"AA","SFO","PHX","JFK","-7","-15","0","-15"
"AS","SFO","SEA","JFK","-4","4","14","4"
"AA","SFO","LAX","JFK","-3","-27","3","-27"
"AA","SFO","LAX","JFK","-3","-14","-6","-14"
"DL","SFO","LAX","JFK","5","-28","-1","-28"
"DL","SFO","LAX","JFK","5","-26","-1","-26"
"AA","SFO","LAX","JFK","-3","-12","-3","-12"
"AA","SFO","LAX","JFK","-3","-27","3","-27"
"AA","SFO","LAX","JFK","-4","-12","-3","-12"
"AA","SFO","CLT","JFK","-4","-18","-3","-18"
"DL","SFO","MSP","JFK","25","26","24","26"
"AA","SFO","CLT","JFK","-4","0","0","0"
"AA","SFO","DFW","JFK","-1","-27","-2","-27"
"AA","SFO","PHX","JFK","-3","2","-4","2"
"AA","SFO","LAX","JFK","5","28","30","28"
"DL","SFO","LAX","JFK","-3","4","16","4"
"DL","SFO","LAX","JFK","-3","4","16","4"
"DL","SFO","LAX","JFK","5","4","16","4"
"AA","SFO","PHX","JFK","-2","52","81","52"
"AA","SFO","DFW","JFK","-2","-3","17","-3"
"DL","SFO","LAX","JFK","-1","-17","-7","-17"
"AA","SFO","CLT","JFK","-2","13","25","13"
"DL","SFO","LAX","JFK","-1","-11","-3","-11"
"AA","SFO","PHX","JFK","4","36","36","36"
"AA","SFO","CLT","JFK","-1","0","-1","0"
"AA","SFO","LAX","JFK","-3","36","55","36"
"AS","SFO","SEA","JFK","9","-27","0","-27"
"AA","SFO","PHX","JFK","-1","-7","2","-7"
"AS","SFO","SEA","JFK","-8","-27","0","-27"
"AA","SFO","LAX","JFK","-5","-14","0","-14"
"AA","SFO","LAX","JFK","-5","-4","-3","-4"
"DL","SFO","LAX","JFK","-5","-7","0","-7"
"AA","SFO","LAX","JFK","-3","11","-1","11"
"AA","SFO","LAX","JFK","-3","-14","0","-14"
"DL","SFO","LAX","JFK","20","20","1","20"
"DL","SFO","LAX","JFK","20","40","25","40"
"AA","SFO","CLT","JFK","20","-5","10","-5"
"DL","SFO","MSP","JFK","-7","-27","-2","-27"
"AA","SFO","CLT","JFK","-3","-3","9","-3"
"AA","SFO","DFW","JFK","-4","-1","26","-1"
"AA","SFO","PHX","JFK","-3","-6","-2","-6"
"DL","SFO","MSP","JFK","2","-19","-2","-19"
"DL","SFO","LAX","JFK","-1","15","40","15"
"B6","SFO","LAS","JFK","-6","-5","6","-5"
"DL","SFO","MSP","JFK","-2","-19","-2","-19"
"DL","SFO","LAX","JFK","5","-13","9","-13"
"AA","SFO","PHX","JFK","0","-3","-1","-3"
"DL","SFO","LAX","JFK","74","8","34","8"
"AA","SFO","CLT","JFK","9","31","35","31"
"DL","SFO","LAX","JFK","91","8","34","8"
"AA","SFO","PHX","JFK","4","35","19","35"
"AA","SFO","CLT","JFK","16","15","23","15"
"DL","SFO","LAX","JFK","127","-7","16","-7"
"DL","SFO","SLC","JFK","143","-12","19","-12"
"AS","SFO","SEA","JFK","9","-45","3","-45"
"DL","SFO","LAX","JFK","81","-7","16","-7"
"AA","SFO","PHX","JFK","-3","-15","6","-15"
"B6","SFO","LAS","JFK","61","-11","1","-11"
"AA","SFO","LAX","JFK","12","-20","-2","-20"
"AA","SFO","LAX","JFK","12","-11","0","-11"
"AA","SFO","CLT","JFK","8","89","75","89"
"AA","SFO","CLT","JFK","-1","28","35","28"
"AA","SFO","DFW","JFK","2","6","29","6"
"AA","SFO","PHX","JFK","0","1","33","1"
"DL","SFO","LAX","JFK","21","-17","16","-17"
"AA","SFO","LAX","JFK","-2","-5","22","-5"
"AA","SFO","PHX","JFK","-2","-14","2","-14"
"DL","SFO","LAX","JFK","-6","-1","29","-1"
"AA","SFO","DFW","JFK","-3","32","-4","32"
"AA","SFO","PHX","JFK","-4","-26","-3","-26"
"DL","SFO","SLC","JFK","13","-14","7","-14"
"AA","SFO","CLT","JFK","123","120","132","120"
"DL","SFO","LAX","JFK","25","16","36","16"
"AS","SFO","SEA","JFK","-3","-31","6","-31"
"AA","SFO","PHX","JFK","-3","-20","0","-20"
"B6","SFO","LAS","JFK","-3","-1","5","-1"
"AS","SFO","SEA","JFK","-7","-31","6","-31"
"AA","SFO","LAX","JFK","-8","16","19","16"
"AA","SFO","LAX","JFK","-5","14","34","14"
"AA","SFO","CLT","JFK","1","9","8","9"
"AA","SFO","DFW","JFK","-2","-19","2","-19"
"AA","SFO","PHX","JFK","-3","-31","6","-31"
"DL","SFO","LAX","JFK","2","0","29","0"
"AA","SFO","LAX","JFK","-6","-26","1","-26"
"B6","SFO","LAS","JFK","3","12","27","12"
"AA","SFO","PHX","JFK","3","3","13","3"
"DL","SFO","LAX","JFK","-1","27","35","27"
"AA","SFO","DFW","JFK","-6","13","20","13"
"AA","SFO","CLT","JFK","0","13","0","13"
"DL","SFO","LAX","JFK","66","-2","26","-2"
"AA","SFO","CLT","JFK","20","79","95","79"
"DL","SFO","LAX","JFK","128","7","12","7"
"B6","SFO","LAS","JFK","88","16","15","16"
"DL","SFO","LAX","JFK","166","-9","-3","-9"
"DL","SFO","LAX","JFK","166","8","29","8"
"AA","SFO","LAX","JFK","28","17","-1","17"
"AA","SFO","LAX","JFK","28","5","5","5"
"AA","SFO","CLT","JFK","26","6","-1","6"
"AA","SFO","DFW","JFK","14","1","9","1"
"DL","SFO","LAX","JFK","-2","-34","0","-34"
"DL","SFO","LAX","JFK","241","54","75","54"
"B6","SFO","LAS","JFK","-1","-9","-1","-9"
"DL","SFO","LAX","JFK","-3","19","41","19"
"AA","SFO","CLT","JFK","18","3","0","3"
"DL","SFO","LAX","JFK","103","3","28","3"
"AA","SFO","PHX","JFK","26","-24","-6","-24"
"AA","SFO","PHX","JFK","152","-17","4","-17"
"DL","SFO","LAX","JFK","183","16","17","16"
"DL","SFO","LAX","JFK","183","9","6","9"
"AA","SFO","PHX","JFK","32","-17","4","-17"
"DL","SFO","LAX","JFK","113","16","17","16"
"AA","SFO","LAX","JFK","100","18","-2","18"
"AA","SFO","LAX","JFK","100","185","157","185"
"AA","SFO","CLT","JFK","209","44","33","44"
"DL","SFO","LAX","JFK","16","33","40","33"
"AA","SFO","PHX","JFK","-1","61","30","61"
"AA","SFO","LAX","JFK","2","-16","2","-16"
"DL","SFO","LAX","JFK","11","35","55","35"
"AA","SFO","CLT","JFK","169","-4","6","-4"
"AA","SFO","PHX","JFK","17","39","31","39"
"DL","SFO","LAX","JFK","0","40","68","40"
"AA","SFO","DFW","JFK","-5","14","24","14"
"AA","SFO","CLT","JFK","32","-4","6","-4"
"DL","SFO","LAX","JFK","55","4","15","4"
"AA","SFO","PHX","JFK","30","-7","-3","-7"
"AA","SFO","PHX","JFK","86","8","3","8"
"B6","SFO","LAS","JFK","185",,"1",
"DL","SFO","LAX","JFK","75","4","-1","4"
"DL","SFO","LAX","JFK","75","30","33","30"
"AA","SFO","LAX","JFK","6","16","13","16"
"AA","SFO","LAX","JFK","61","0","-7","0"
"AA","SFO","LAX","JFK","61","75","67","75"
"DL","SFO","LAX","JFK","9","4","-1","4"
"AA","SFO","CLT","JFK","19","27","28","27"
"AA","SFO","CLT","JFK","-1","27","28","27"
"AA","SFO","DFW","JFK","-2","70","33","70"
"DL","SFO","LAX","JFK","32","9","12","9"
"AA","SFO","PHX","JFK","-2","13","4","13"
"AA","SFO","DFW","JFK","56","162","58","162"
"DL","SFO","LAX","JFK","-4","26","2","26"
"DL","SFO","LAX","JFK","-4","10","17","10"
"AA","SFO","DFW","JFK","-2","162","58","162"
"AA","SFO","DFW","JFK","22","162","58","162"
"AA","SFO","CLT","JFK","-3","86","74","86"
"AA","SFO","PHX","JFK","-6","19","8","19"
"AA","SFO","LAX","JFK","-1","-11","-6","-11"
"AA","SFO","PHX","JFK","2","-14","12","-14"
"DL","SFO","LAX","JFK","69","20","16","20"
"AS","SFO","SEA","JFK","1","2","32","2"
"AA","SFO","LAX","JFK","32","-4","-5","-4"
"AA","SFO","LAX","JFK","32","-8","11","-8"
"AA","SFO","LAX","JFK","6","-4","-5","-4"
"DL","SFO","LAX","JFK","23","20","16","20"
"AA","SFO","CLT","JFK","-3","31","20","31"
"AA","SFO","DFW","JFK","1","-10","-3","-10"
"AA","SFO","PHX","JFK","-2","-36","-5","-36"
"AA","SFO","LAX","JFK","-4","-39","-7","-39"
"DL","SFO","LAX","JFK","-3","4","44","4"
"AA","SFO","PHX","JFK","0","3","17","3"
"AA","SFO","DFW","JFK","18","8","19","8"
"DL","SFO","LAX","JFK","3","15","42","15"
"AA","SFO","PHX","JFK","7","-20","10","-20"
"DL","SFO","SLC","JFK","9","-7","-4","-7"
"AA","SFO","LAX","JFK","-4","7","48","7"
"AA","SFO","PHX","JFK","10","-27","4","-27"
"AS","SFO","SEA","JFK","-6","-7","7","-7"
"AA","SFO","CLT","JFK","-1","12","27","12"
"AA","SFO","CLT","JFK","-1","-4","3","-4"
"AA","SFO","DFW","JFK","-4","-23","0","-23"
"AA","SFO","DFW","JFK","5","-23","0","-23"
"AA","SFO","PHX","JFK","-3","-20","8","-20"
"DL","SFO","LAX","JFK","-1","81","78","81"
"AA","SFO","CLT","JFK","-1","87","95","87"
"DL","SFO","MSP","JFK","11","3","8","3"
"AA","SFO","PHX","JFK","12","-19","19","-19"
"AA","SFO","DFW","JFK","-5","-13","7","-13"
"AA","SFO","CLT","JFK","-2","-5","-1","-5"
"DL","SFO","LAX","JFK","-2","90","121","90"
"AA","SFO","PHX","JFK","3","-45","-11","-45"
"AA","SFO","CLT","JFK","10","27","37","27"
"AA","SFO","PHX","JFK","-3","-21","16","-21"
"DL","SFO","LAX","JFK","68","-14","1","-14"
"AA","SFO","CLT","JFK","-2","15","-1","15"
"AA","SFO","CLT","JFK","-2","9","2","9"
"AA","SFO","DFW","JFK","-2","31","35","31"
"DL","SFO","LAX","JFK","5","12","7","12"
"AA","SFO","LAX","JFK","-6","2","-5","2"
"B6","SFO","LAS","JFK","-1","10","11","10"
"AA","SFO","DFW","JFK","-2","93","-3","93"
"AA","SFO","PHX","JFK","-7","16","-5","16"
"DL","SFO","LAX","JFK","-5","34","29","34"
"AA","SFO","CLT","JFK","-8","53","56","53"
"DL","SFO","LAX","JFK","16","-8","0","-8"
"AA","SFO","PHX","JFK","-2","14","12","14"
"AS","SFO","SEA","JFK","-9","-26","-1","-26"
"AA","SFO","PHX","JFK","-3","-8","2","-8"
"B6","SFO","LAS","JFK","2","0","-2","0"
"AS","SFO","SEA","JFK","-5","-26","-1","-26"
