"Airline","Origin_Airport","Stopover_Airport","Destination_Airport","Origin_Departure_Delay","Stopover_Arrival_Delay","Stopover_Departure_Delay","Destination_Arrival_Delay"
"B6","SFO","FLL","JFK","-1","28","29","28"
"DL","SFO","ATL","JFK","-3","-16","-2","-16"
"AA","SFO","ORD","JFK","2","-21","-4","-21"
"DL","SFO","ATL","JFK","-1","-29","-1","-29"
"AA","SFO","MIA","JFK","2","-7","-5","-7"
"VX","SFO","LAX","JFK","1","-23","-1","-23"
"DL","SFO","ATL","JFK","2","-21","0","-21"
"VX","SFO","LAX","JFK","4","-23","-1","-23"
"B6","SFO","BOS","JFK","-1","-3","-4","-3"
"DL","SFO","ATL","JFK","-1","-21","0","-21"
"AA","SFO","ORD","JFK","-2","-23","-8","-23"
"B6","SFO","FLL","JFK","121","35","39","35"
"AA","SFO","ORD","JFK","-2","-23","-8","-23"
"VX","SFO","LAX","JFK","-4","-24","2","-24"
"DL","SFO","ATL","JFK","0","-30","-1","-30"
"VX","SFO","LAX","JFK","-3","3","16","3"
"B6","SFO","LGB","JFK","1","15","8","15"
"VX","SFO","LAX","JFK","-4","-12","2","-12"
"VX","SFO","LAX","JFK","-5","-12","2","-12"
"B6","SFO","BOS","JFK","21","-8","-5","-8"
"B6","SFO","FLL","JFK","0","4","-3","4"
"DL","SFO","ATL","JFK","74","-10","4","-10"
"AA","SFO","MIA","JFK","3","-18","-1","-18"
"DL","SFO","ATL","JFK","2","-9","-2","-9"
"AA","SFO","MIA","JFK","17","52","46","52"
"VX","SFO","LAX","JFK","0","6","21","6"
"VX","SFO","LAX","JFK","0","6","21","6"
"DL","SFO","ATL","JFK","1","44","52","44"
"AA","SFO","ORD","JFK","1","290","300","290"
"B6","SFO","FLL","JFK","5","61","85","61"
"AA","SFO","ORD","JFK","0","69","85","69"
"VX","SFO","LAX","JFK","-2","80","82","80"
"DL","SFO","DTW","JFK","1","35","55","35"
"DL","SFO","ATL","JFK","-2","23","57","23"
"AA","SFO","MIA","JFK","10","-5","-1","-5"
"VX","SFO","LAX","JFK","-5","-6","0","-6"
"VX","SFO","LAS","JFK","-4","6","21","6"
"VX","SFO","LAX","JFK","1","-17","-6","-17"
"B6","SFO","BOS","JFK","16","-10","-1","-10"
"AA","SFO","MIA","JFK","2","-17","2","-17"
"DL","SFO","ATL","JFK","20","-29","1","-29"
"AA","SFO","ORD","JFK","0","-7","-4","-7"
"DL","SFO","ATL","JFK","-4","-31","-5","-31"
"AA","SFO","MIA","JFK","2","31","54","31"
"VX","SFO","LAX","JFK","7","-10","8","-10"
